Title,Current Price,Old Price,Diff,url
"Monitor Curvo Gigabyte G32QC VA 31.5"" QHD 16:9 165Hz FreeSync / G-SYNC Compatible","319,90","399,90","
        -80     ",https://www.pcdiga.com/monitor-curvo-gigabyte-g32qc-va-31-5-qhd-16-9-165hz-freesync-g-sync-compatible
"Monitor Curvo AOC CQ27G2U VA 27"" QHD 16:9 144Hz FreeSync","319,90","359,90","
        -40     ",https://www.pcdiga.com/monitor-curvo-aoc-cq27g2u-va-27-qhd-16-9-144hz-freesync
"Monitor Curvo MSI Optix G32C4 VA 31.5"" FHD 16:9 165Hz FreeSync","329,00",,,https://www.pcdiga.com/monitor-curvo-msi-optix-g32c4-va-31-5-fhd-16-9-165hz-freesync
"Monitor Curvo Gigabyte G27QC VA 27"" QHD 16:9 165Hz FreeSync / G-SYNC Compatible","329,90","364,90","
        -35     ",https://www.pcdiga.com/monitor-curvo-gigabyte-g27qc-va-27-qhd-16-9-165hz-freesync-g-sync-compatible
"Monitor BenQ EW2780Q IPS 27"" QHD 16:9 60Hz FreeSync","329,90",,,https://www.pcdiga.com//monitor-benq-ew2780q-ips-27-16-9-qhd
"Monitor Dell UltraSharp U2719D IPS 27"" QHD 16:9 60Hz","334,90",,,https://www.pcdiga.com/monitor-dell-ultrasharp-u2719d-ips-27-qhd-16-9-60hz
"Monitor BenQ EW3270U VA 31.5"" 4K UHD 16:9 60Hz FreeSync","334,90",,,https://www.pcdiga.com/monitor-benq-ew3270u-va-31-5-4k-uhd-16-9-60hz-freesync-0
"Monitor Asus TUF Gaming VG279QL1A IPS 27"" FHD 165Hz FreeSync","339,90","349,90","
        -10     ",https://www.pcdiga.com/monitor-asus-tuf-gaming-vg279ql1a-ips-27-fhd-165hz-freesync
"Monitor Dell S2721QS IPS 27"" 4K UHD 16:9 60Hz FreeSync","349,90",,,https://www.pcdiga.com/monitor-dell-s2721qs-ips-27-4k-uhd-16-9-60hz-freesync
"Monitor MSI Optix MAG274R IPS 27"" FHD 16:9 144Hz FreeSync","349,90",,,https://www.pcdiga.com/monitor-msi-optix-mag274r-ips-27-fhd-16-9-144hz-freesync
"Monitor LG 34WN650-W IPS 34"" UW-UXGA 21:9 75Hz FreeSync","349,90","389,90","
        -40     ",https://www.pcdiga.com/monitor-lg-34wn650-w-ips-34-uw-uxga-21-9-75hz-freesync
"Monitor Dell UltraSharp U2520D IPS 25"" QHD 16:9 60Hz","349,90","369,90","
        -20     ",https://www.pcdiga.com/monitor-dell-ultrasharp-u2520d-ips-25-qhd-16-9-60hz
"Monitor Asus TUF Gaming VG259QM IPS 24.5"" FHD 280Hz FreeSync / G-SYNC Compatible","349,90","434,90","
        -85     ",https://www.pcdiga.com/monitor-asus-tuf-gaming-vg259qm-ips-24-5-fhd-280hz-freesync-g-sync-compatible
"Monitor BenQ XL2430 TN 24"" FHD 16:9 144Hz","349,90",,,https://www.pcdiga.com/monitor-benq-zowie-24-led-xl2430-144hz-9h-lf1lb-qbe
